,year,month,day,extent,date
0,1995,1,1,22.4,1.0/1.0/1995.0
1,1995,1,2,23.0,2.0/1.0/1995.0
2,1995,1,3,22.5,3.0/1.0/1995.0
3,1995,1,4,24.0,4.0/1.0/1995.0
4,1995,1,5,23.8,5.0/1.0/1995.0
5,1995,1,6,24.6,6.0/1.0/1995.0
6,1995,1,7,25.8,7.0/1.0/1995.0
7,1995,1,8,25.9,8.0/1.0/1995.0
8,1995,1,9,25.6,9.0/1.0/1995.0
9,1995,1,10,26.3,10.0/1.0/1995.0
10,1995,1,11,25.5,11.0/1.0/1995.0
11,1995,1,12,26.1,12.0/1.0/1995.0
12,1995,1,13,23.0,13.0/1.0/1995.0
13,1995,1,14,24.8,14.0/1.0/1995.0
14,1995,1,15,23.1,15.0/1.0/1995.0
15,1995,1,16,25.0,16.0/1.0/1995.0
16,1995,1,17,21.7,17.0/1.0/1995.0
17,1995,1,18,22.5,18.0/1.0/1995.0
18,1995,1,19,24.5,19.0/1.0/1995.0
19,1995,1,20,24.3,20.0/1.0/1995.0
20,1995,1,21,23.4,21.0/1.0/1995.0
21,1995,1,22,23.5,22.0/1.0/1995.0
22,1995,1,23,23.8,23.0/1.0/1995.0
23,1995,1,24,23.9,24.0/1.0/1995.0
24,1995,1,25,23.9,25.0/1.0/1995.0
25,1995,1,26,24.8,26.0/1.0/1995.0
26,1995,1,27,24.3,27.0/1.0/1995.0
27,1995,1,28,23.7,28.0/1.0/1995.0
28,1995,1,29,23.9,29.0/1.0/1995.0
29,1995,1,30,25.1,30.0/1.0/1995.0
30,1995,1,31,25.5,31.0/1.0/1995.0
31,1995,2,1,25.5,1.0/2.0/1995.0
32,1995,2,2,24.9,2.0/2.0/1995.0
33,1995,2,3,25.6,3.0/2.0/1995.0
34,1995,2,4,25.6,4.0/2.0/1995.0
35,1995,2,5,26.0,5.0/2.0/1995.0
36,1995,2,6,26.0,6.0/2.0/1995.0
37,1995,2,7,24.9,7.0/2.0/1995.0
38,1995,2,8,24.9,8.0/2.0/1995.0
39,1995,2,9,25.4,9.0/2.0/1995.0
40,1995,2,10,25.5,10.0/2.0/1995.0
41,1995,2,11,25.4,11.0/2.0/1995.0
42,1995,2,12,25.0,12.0/2.0/1995.0
43,1995,2,13,24.8,13.0/2.0/1995.0
44,1995,2,14,24.9,14.0/2.0/1995.0
